contrib group turnover eligible vest failsafe match salary estimate susan
  36675  1 14.00  69 1 0  25  26296.3   75432 0
  63733  0 10.00  33 1 0  50  14133.7   50000 0
  25560  1  8.00  21 1 0  50  24000.0   45000 0
 177970  0 10.00  67 1 0  25  36833.3  235000 0
  86873  1 10.00  47 1 0  50  41140.1  146965 0
  39051  0 10.00  12 1 0   0  66463.8   95000 0
 131449  1 12.00  85 1 0  25  25929.3  155045 0
  30711  0 10.00  40 1 0  50  17198.7   54392 1
  13691  0 10.00  30 1 1   0  28788.6   50000 0
  49587  1 10.00  63 1 0  25  32124.4  100000 0
  37898  0 10.00  25 1 1 100  35288.1   86000 0
  41686  1  0.10  30 0 0 100  23266.7   56000 0
 107657  0 14.00  21 1 0  50  54798.0  115650 0
  39811  0 14.00  29 1 0  50  18617.9   50000 0
 148274  0 14.00  99 1 0   0  25516.6  252316 0
  91496  0 10.80  21 1 1  25  41250.0  113152 1
 126988  0 10.00  28 1 0   0  21599.3   77280 0
 158941  0  7.50 283 1 0  25  20405.2  321750 0
  13691  0 12.00  50 0 0 100  23778.9   35772 0
 118396  0 14.00 250 1 0   0  28626.9  243750 0
 102670  0  7.00  30 1 0   0  37906.4  101431 0
  21012  0 12.00  28 1 0 100  33941.2   78330 0
  58448  0 14.00  36 1 0  25  23492.0   60304 0
  39787  0 12.00  23 1 0  50  28222.1   41458 0
  73614  0 14.00  66 0 0   0  35874.8  144316 0
 218158  0 12.00 150 0 0 100  21626.1  200000 1
  41335  0 12.00 121 1 0  20  57182.2  141481 0
  19120  1 14.00  69 1 0   0  21503.3  103171 0
  73053  1 11.00 175 1 0   0  25102.2  152646 0
 166110  1 14.00 146 1 0  25  37219.7  267268 0
 141009  1 14.00  70 1 0   0  20380.5  154135 0
  98052  0 13.00 176 1 0   0  34764.0  276222 0
  42293  1 14.00  38 0 0   0  34182.8   90074 0
 169983  0 12.00 144 1 0  25  26809.3  255126 0
  71849  0 14.00  69 0 0   0  67391.1  119856 0
  28429  1 12.00 110 1 0   0  30397.0  144000 0
  24154  1 14.00  21 1 0  75  33374.8   50088 0
  12038  1 14.00  49 1 0   0  21133.9   51592 0
 289886  1 11.80 391 1 0   0  27309.8  432562 0
 150329  1 11.00  80 0 1   0  37927.6  173846 0
  69020  0 14.00  32 1 0   0  43603.4   90000 1
  25749  1 18.00 281 1 0   0  18943.7  120000 0
  32147  1 14.00  63 1 0   0  30144.4  103320 0
 101665  1 11.80  45 0 0  25  35661.8  126625 0
 224721  0  8.21 437 1 0  25  24986.9  679972 0
 249063  1 14.00 400 1 0  25  20511.8  425040 0
  17865  0 12.00   9 1 0 100  59528.6   40500 0
  28912  0 14.00  31 1 0  50  27289.5   59271 0
  42703  0 14.00  25 1 0   0  34137.7   51026 0
 120940  0 14.00  50 1 0  50  35888.3  106000 0
 149654  0 14.00 230 1 0  40  26807.3  200000 0
 277688  0 12.00 244 1 0   0  36729.4  263676 1
  25214  1 12.00  54 1 0  10  18039.7   73031 0
 141359  0 12.00 234 0 0   0  29970.1  217420 0
  57282  1 12.00  23 1 0 100  26647.8   50000 0
  76269  0 12.00  23 1 0  25  37104.9   64488 0
  75572  0 12.00  63 1 0  10  42790.9  175000 0
  71330  1 13.00  85 1 0  50  25932.4  192000 0
  28748  1 14.00  69 1 0 100  21250.7  123084 0
 151405  1 14.00 141 1 0  25  30506.1  262005 0
  24285  0 14.00  49 1 1  10  15423.5   46104 1
  58131  1 14.00 130 0 0   0  38793.3  140576 0
  44323  1 14.00  41 1 0   0  37380.2   97680 0
 318022  0 14.00 154 0 0 100  51865.4  524000 0
  34052  0 14.00  17 0 0 100  30398.9   61222 0
  82837  0 12.00  28 1 0  25  41309.2   70275 0
  86394  0 14.00 100 1 0   0  30265.6  264075 1
  26810  1 14.00 126 1 0   0  29346.0  281954 0
  37516  1 12.00  62 1 0  50  24814.9   65052 0
  44228  1 14.00 135 1 0  25  19549.9  165102 0
  24541  1 12.00  60 1 0   0  39189.3  121135 0
  80602  1 14.00  96 1 0  50  26440.6  165240 0
  56209  1 14.00  64 1 0   0  45428.3  170928 0
 187159  1 12.50 350 1 0   0  23659.6  394980 0
  34878  1 14.00  60 1 0  25  32408.3  135936 0
 126924  1 14.00  86 1 0   0  37579.8  150000 0
 197015  0 14.00  27 1 0  50  55804.3  123405 1
 228169  0 14.00  84 0 0  20  51481.8  399431 1
 147450  1 13.00 176 1 0  25  25424.2  251064 0
  39691  1 14.00  68 0 0  25  27399.6  134133 0
  52618  0 14.00  37 1 0  20  36806.7  113010 0
  25530  1 14.00  37 1 0   0  43253.4   87000 0
  39311  1 15.00  70 1 0   0  22034.8   72680 0
  45969  1 14.00  75 1 0  25  18465.4   82320 0
  13604  1 14.00  36 1 0   0  30352.5   50930 0
 304864  0 14.00 141 1 1  25  42847.9  271153 0
  66685  0 12.00  29 1 0   0  47012.6  118145 0
  26192  1 20.00  49 1 0  25   2234.4   67340 0
  67353  0 14.00  52 1 0 100  37295.0  220153 1
  22954  0 14.00 150 1 0  25  18352.1  147000 0
 109116  1 14.00 246 0 0   0  31887.7  506530 0
  18022  0 14.00  51 1 0  25  71320.0   98076 0
