"year","math","retained","female","black","hispanic","size","lowinc","school","child"
0.5,1.146,0,0,0,1,380,40.3,2020,244
1.5,1.134,0,0,0,1,380,40.3,2020,244
2.5,2.3,0,0,0,1,380,40.3,2020,244
-1.5,-1.303,0,0,0,0,380,40.3,2020,248
-0.5,0.439,0,0,0,0,380,40.3,2020,248
0.5,2.43,0,0,0,0,380,40.3,2020,248
1.5,2.254,0,0,0,0,380,40.3,2020,248
2.5,3.873,0,0,0,0,380,40.3,2020,248
-1.5,-1.384,0,0,0,1,380,40.3,2020,253
-0.5,0.338,0,0,0,1,380,40.3,2020,253
0.5,1.146,0,0,0,1,380,40.3,2020,253
1.5,1.839,0,0,0,1,380,40.3,2020,253
2.5,3.055,0,0,0,1,380,40.3,2020,253
-1.5,-0.733,0,0,0,0,380,40.3,2020,284
-0.5,1.043,0,0,0,0,380,40.3,2020,284
0.5,2.14,0,0,0,0,380,40.3,2020,284
1.5,2.814,0,0,0,0,380,40.3,2020,284
2.5,3.544,0,0,0,0,380,40.3,2020,284
-1.5,-0.733,0,0,0,1,380,40.3,2020,622
-0.5,0.148,0,0,0,1,380,40.3,2020,622
0.5,2.79,0,0,0,1,380,40.3,2020,622
-2.5,-3.068,0,0,0,0,380,40.3,2020,623
-1.5,-1.13,1,0,0,0,380,40.3,2020,623
-0.5,-0.921,0,0,0,0,380,40.3,2020,623
0.5,0.463,0,0,0,0,380,40.3,2020,623
1.5,0.021,0,0,0,0,380,40.3,2020,623
2.5,2.035,0,0,0,0,380,40.3,2020,623
-2.5,-2.732,0,0,0,0,380,40.3,2020,624
-1.5,-2.097,1,0,0,0,380,40.3,2020,624
-0.5,-0.988,0,0,0,0,380,40.3,2020,624
0.5,0.227,0,0,0,0,380,40.3,2020,624
1.5,0.403,0,0,0,0,380,40.3,2020,624
2.5,1.623,0,0,0,0,380,40.3,2020,624
-1.5,-1.83,0,0,0,0,380,40.3,2020,625
-0.5,-0.785,0,0,0,0,380,40.3,2020,625
0.5,0.716,0,0,0,0,380,40.3,2020,625
1.5,1.202,0,0,0,0,380,40.3,2020,625
2.5,3.055,0,0,0,0,380,40.3,2020,625
-1.5,-1.541,0,1,0,0,380,40.3,2020,626
-0.5,-0.273,0,1,0,0,380,40.3,2020,626
0.5,-0.522,0,1,0,0,380,40.3,2020,626
1.5,0.459,0,1,0,0,380,40.3,2020,626
2.5,2.099,0,1,0,0,380,40.3,2020,626
-1.5,-1.76,0,1,0,1,380,40.3,2020,627
-0.5,-0.921,0,1,0,1,380,40.3,2020,627
0.5,0.852,0,1,0,1,380,40.3,2020,627
1.5,1.748,0,1,0,1,380,40.3,2020,627
2.5,2.6,0,1,0,1,380,40.3,2020,627
-1.5,-1.83,0,0,0,1,380,40.3,2020,628
-0.5,-0.501,0,0,0,1,380,40.3,2020,628
0.5,0.114,0,0,0,1,380,40.3,2020,628
1.5,1.661,0,0,0,1,380,40.3,2020,628
2.5,2.164,0,0,0,1,380,40.3,2020,628
-1.5,-2.351,0,1,0,0,380,40.3,2020,629
-0.5,-1.505,0,1,0,0,380,40.3,2020,629
0.5,-0.725,0,1,0,0,380,40.3,2020,629
1.5,0.021,0,1,0,0,380,40.3,2020,629
2.5,1.514,0,1,0,0,380,40.3,2020,629
-1.5,-1.218,0,0,0,1,380,40.3,2020,630
-0.5,-0.273,0,0,0,1,380,40.3,2020,630
0.5,0.463,0,0,0,1,380,40.3,2020,630
1.5,0.573,0,0,0,1,380,40.3,2020,630
2.5,1.736,0,0,0,1,380,40.3,2020,630
-1.5,-1.966,0,1,0,0,380,40.3,2020,631
-0.5,-0.574,0,1,0,0,380,40.3,2020,631
0.5,0.227,0,1,0,0,380,40.3,2020,631
1.5,1.748,0,1,0,0,380,40.3,2020,631
2.5,2.231,0,1,0,0,380,40.3,2020,631
-1.5,-2.718,0,0,0,1,380,40.3,2020,632
-0.5,-1.378,0,0,0,1,380,40.3,2020,632
0.5,-0.623,0,0,0,1,380,40.3,2020,632
1.5,0.811,0,0,0,1,380,40.3,2020,632
2.5,1.973,0,0,0,1,380,40.3,2020,632
-1.5,-2.96,0,1,0,1,380,40.3,2020,633
-0.5,-1.25,0,1,0,1,380,40.3,2020,633
0.5,-0.725,0,1,0,1,380,40.3,2020,633
1.5,0.128,0,1,0,1,380,40.3,2020,633
2.5,1.514,0,1,0,1,380,40.3,2020,633
-2.5,-2.732,0,1,0,1,380,40.3,2020,799
-1.5,-1.898,1,1,0,1,380,40.3,2020,799
-0.5,-0.921,0,1,0,1,380,40.3,2020,799
0.5,0.587,0,1,0,1,380,40.3,2020,799
1.5,1.578,0,1,0,1,380,40.3,2020,799
2.5,2.3,0,1,0,1,380,40.3,2020,799
0.5,0.003,0,1,0,1,380,40.3,2020,891
1.5,0.573,0,1,0,1,380,40.3,2020,891
2.5,1.148,0,1,0,1,380,40.3,2020,891
-1.5,-0.733,0,1,1,0,380,40.3,2020,1136
-0.5,-0.645,0,1,1,0,380,40.3,2020,1136
0.5,1.146,0,1,1,0,380,40.3,2020,1136
-1.5,-0.733,0,0,1,0,380,40.3,2020,1497
-0.5,-0.112,0,0,1,0,380,40.3,2020,1497
0.5,1.146,0,0,1,0,380,40.3,2020,1497
-1.5,-2.474,0,0,1,0,380,40.3,2020,1499
-0.5,-1.505,0,0,1,0,380,40.3,2020,1499
0.5,-0.623,0,0,1,0,380,40.3,2020,1499
1.5,-0.35,0,0,1,0,380,40.3,2020,1499
-2.5,-2.188,0,0,0,1,502,83.1,2040,148
-1.5,-1.541,1,0,0,1,502,83.1,2040,148
-0.5,-0.351,0,0,0,1,502,83.1,2040,148
0.5,1.309,0,0,0,1,502,83.1,2040,148
1.5,1.421,0,0,0,1,502,83.1,2040,148
2.5,2.682,0,0,0,1,502,83.1,2040,148
-1.5,-3.395,0,1,0,1,502,83.1,2040,149
-0.5,-3.232,1,1,0,1,502,83.1,2040,149
0.5,-2.053,0,1,0,1,502,83.1,2040,149
-1.5,-1.987,0,0,1,0,502,83.1,2040,228
0.5,-0.419,0,0,1,0,502,83.1,2040,228
1.5,-0.244,0,0,1,0,502,83.1,2040,228
-0.5,-0.785,0,0,1,0,502,83.1,2040,427
0.5,0.587,0,0,1,0,502,83.1,2040,427
1.5,1.421,0,0,1,0,502,83.1,2040,427
-1.5,-2.162,0,0,0,1,502,83.1,2040,525
-0.5,0.241,0,0,0,1,502,83.1,2040,525
0.5,0.227,0,0,0,1,502,83.1,2040,525
1.5,1.273,0,0,0,1,502,83.1,2040,525
2.5,3.055,0,0,0,1,502,83.1,2040,525
-1.5,-1.83,0,0,1,0,502,83.1,2040,576
-0.5,-1.185,0,0,1,0,502,83.1,2040,576
0.5,0.852,0,0,1,0,502,83.1,2040,576
1.5,0.573,0,0,1,0,502,83.1,2040,576
2.5,1.736,0,0,1,0,502,83.1,2040,576
-1.5,-3.144,0,1,1,0,502,83.1,2040,651
-0.5,-2.097,0,1,1,0,502,83.1,2040,651
0.5,-0.316,0,1,1,0,502,83.1,2040,651
-1.5,-2.097,0,1,1,0,502,83.1,2040,721
-0.5,-1.314,0,1,1,0,502,83.1,2040,721
0.5,0.003,0,1,1,0,502,83.1,2040,721
1.5,0.182,0,1,1,0,502,83.1,2040,721
-1.5,-1.538,0,1,0,1,502,83.1,2040,1003
-0.5,-0.942,0,1,0,1,502,83.1,2040,1003
0.5,-0.522,0,1,0,1,502,83.1,2040,1003
1.5,0.632,0,1,0,1,502,83.1,2040,1003
2.5,1.794,0,1,0,1,502,83.1,2040,1003
-1.5,-1.898,0,0,0,1,502,83.1,2040,1274
-0.5,-0.716,0,0,0,1,502,83.1,2040,1274
0.5,0.716,0,0,0,1,502,83.1,2040,1274
1.5,1.066,0,0,0,1,502,83.1,2040,1274
2.5,2.371,0,0,0,1,502,83.1,2040,1274
-2.5,-3.232,0,1,0,1,502,83.1,2040,1275
-1.5,-2.188,1,1,0,1,502,83.1,2040,1275
-0.5,-1.464,0,1,0,1,502,83.1,2040,1275
-1.5,-1.987,0,0,0,1,502,83.1,2040,1276
-0.5,-1.616,0,0,0,1,502,83.1,2040,1276
0.5,-1.665,0,0,0,1,502,83.1,2040,1276
1.5,-0.35,0,0,0,1,502,83.1,2040,1276
2.5,1.047,0,0,0,1,502,83.1,2040,1276
-1.5,-1.772,0,0,1,0,502,83.1,2040,1277
-0.5,-0.194,0,0,1,0,502,83.1,2040,1277
0.5,1.678,0,0,1,0,502,83.1,2040,1277
-1.5,-2.188,0,1,1,0,502,83.1,2040,1278
-0.5,-1.568,0,1,1,0,502,83.1,2040,1278
0.5,-1.236,0,1,1,0,502,83.1,2040,1278
1.5,-0.244,0,1,1,0,502,83.1,2040,1278
-2.5,-3.395,0,0,1,0,502,83.1,2040,1279
-1.5,-2.474,1,0,1,0,502,83.1,2040,1279
-0.5,-1.966,0,0,1,0,502,83.1,2040,1279
0.5,-0.928,0,0,1,0,502,83.1,2040,1279
1.5,0.182,0,0,1,0,502,83.1,2040,1279
2.5,0.798,0,0,1,0,502,83.1,2040,1279
-2.5,-3.232,0,1,0,0,502,83.1,2040,1280
-1.5,-2.535,1,1,0,0,502,83.1,2040,1280
-0.5,-0.785,0,1,0,0,502,83.1,2040,1280
0.5,0.343,0,1,0,0,502,83.1,2040,1280
1.5,0.573,0,1,0,0,502,83.1,2040,1280
2.5,1.302,0,1,0,0,502,83.1,2040,1280
-1.5,-1.276,0,1,0,0,502,83.1,2040,1281
-0.5,0.338,0,1,0,0,502,83.1,2040,1281
0.5,0.852,0,1,0,0,502,83.1,2040,1281
1.5,0.128,0,1,0,0,502,83.1,2040,1281
2.5,2.3,0,1,0,0,502,83.1,2040,1281
-2.5,-3.232,0,1,1,0,502,83.1,2040,1282
-1.5,-2.225,1,1,1,0,502,83.1,2040,1282
-0.5,-0.988,0,1,1,0,502,83.1,2040,1282
0.5,-1.236,0,1,1,0,502,83.1,2040,1282
1.5,0.021,0,1,1,0,502,83.1,2040,1282
-1.5,-1.13,0,0,1,0,502,83.1,2040,1283
-0.5,-0.427,0,0,1,0,502,83.1,2040,1283
0.5,0.995,0,0,1,0,502,83.1,2040,1283
-1.5,-2.377,0,0,0,1,502,83.1,2040,1285
-0.5,-0.427,0,0,0,1,502,83.1,2040,1285
0.5,0.995,0,0,0,1,502,83.1,2040,1285
-1.5,-2.377,0,1,0,1,502,83.1,2040,1286
0.5,-1.236,0,1,0,1,502,83.1,2040,1286
1.5,-0.725,0,1,0,1,502,83.1,2040,1286
2.5,0.65,0,1,0,1,502,83.1,2040,1286
0.5,-0.623,0,0,1,0,777,96.6,2180,113
1.5,0.516,0,0,1,0,777,96.6,2180,113
2.5,0.551,0,0,1,0,777,96.6,2180,113
-1.5,-1.898,0,1,1,0,777,96.6,2180,161
-0.5,-0.351,0,1,1,0,777,96.6,2180,161
0.5,0.343,0,1,1,0,777,96.6,2180,161
1.5,0.573,0,1,1,0,777,96.6,2180,161
2.5,1.302,0,1,1,0,777,96.6,2180,161
-1.5,-0.221,0,0,1,0,777,96.6,2180,214
-0.5,-0.351,0,0,1,0,777,96.6,2180,214
0.5,0.227,0,0,1,0,777,96.6,2180,214
1.5,0.128,0,0,1,0,777,96.6,2180,214
2.5,1.199,0,0,1,0,777,96.6,2180,214
0.5,0.852,0,1,1,0,777,96.6,2180,240
1.5,0.573,0,1,1,0,777,96.6,2180,240
2.5,1.736,0,1,1,0,777,96.6,2180,240
-2.5,-4.096,0,0,1,0,777,96.6,2180,259
-1.5,-2.097,1,0,1,0,777,96.6,2180,259
-0.5,-2.136,0,0,1,0,777,96.6,2180,259
0.5,-1.894,0,0,1,0,777,96.6,2180,396
1.5,-0.403,0,0,1,0,777,96.6,2180,396
2.5,0.452,0,0,1,0,777,96.6,2180,396
-0.5,-0.988,0,1,1,0,777,96.6,2180,403
0.5,-0.725,0,1,1,0,777,96.6,2180,403
1.5,0.074,0,1,1,0,777,96.6,2180,403
2.5,0.749,0,1,1,0,777,96.6,2180,403
-1.5,-2.225,0,1,1,0,777,96.6,2180,652
-0.5,-1.568,0,1,1,0,777,96.6,2180,652
0.5,-0.522,0,1,1,0,777,96.6,2180,652
1.5,0.292,0,1,1,0,777,96.6,2180,652
2.5,1.354,0,1,1,0,777,96.6,2180,652
-0.5,-1.568,0,1,1,0,777,96.6,2180,653
0.5,-0.725,0,1,1,0,777,96.6,2180,653
1.5,0.237,0,1,1,0,777,96.6,2180,653
2.5,0.947,0,1,1,0,777,96.6,2180,653
-1.5,-2.162,0,1,1,0,777,96.6,2180,654
-0.5,-1.568,0,1,1,0,777,96.6,2180,654
0.5,-1.555,0,1,1,0,777,96.6,2180,654
-1.5,-1.038,0,1,1,0,777,96.6,2180,655
-0.5,-0.351,0,1,1,0,777,96.6,2180,655
0.5,-0.316,0,1,1,0,777,96.6,2180,655
1.5,0.573,0,1,1,0,777,96.6,2180,655
2.5,1.407,0,1,1,0,777,96.6,2180,655
-1.5,-4.258,0,1,1,0,777,96.6,2180,656
-0.5,-2.535,1,1,1,0,777,96.6,2180,656
0.5,-2.053,0,1,1,0,777,96.6,2180,656
1.5,-2.64,0,1,1,0,777,96.6,2180,656
2.5,-1.229,0,1,1,0,777,96.6,2180,656
-1.5,-1.218,0,1,1,0,777,96.6,2180,657
-0.5,-0.351,0,1,1,0,777,96.6,2180,657
0.5,0.587,0,1,1,0,777,96.6,2180,657
-1.5,-3.021,0,0,1,0,777,96.6,2180,658
-0.5,-0.194,0,0,1,0,777,96.6,2180,658
0.5,-1.555,0,0,1,0,777,96.6,2180,658
1.5,0.237,0,0,1,0,777,96.6,2180,658
2.5,1.199,0,0,1,0,777,96.6,2180,658
-2.5,-4.096,0,0,1,0,777,96.6,2180,659
-1.5,-1.76,1,0,1,0,777,96.6,2180,659
-0.5,-1.185,0,0,1,0,777,96.6,2180,659
0.5,-1.132,0,0,1,0,777,96.6,2180,659
-1.5,-2.474,0,1,1,0,777,96.6,2180,660
-0.5,-2.528,0,1,1,0,777,96.6,2180,660
0.5,-2.406,0,1,1,0,777,96.6,2180,660
1.5,-1.235,0,1,1,0,777,96.6,2180,660
2.5,-0.835,0,1,1,0,777,96.6,2180,660
-1.5,-1.966,0,1,1,0,777,96.6,2180,661
-0.5,-1.12,0,1,1,0,777,96.6,2180,661
0.5,0.003,0,1,1,0,777,96.6,2180,661
1.5,0.292,0,1,1,0,777,96.6,2180,661
2.5,1.46,0,1,1,0,777,96.6,2180,661
-1.5,-1.83,0,0,1,0,777,96.6,2180,662
-0.5,-1.898,1,0,1,0,777,96.6,2180,662
0.5,-1.295,0,0,1,0,777,96.6,2180,662
1.5,-0.702,0,0,1,0,777,96.6,2180,662
