"city","date","dow","tmpd","tmax","tmin","tmean","dptp","rhum","mxrh","mnrh","pm10mean","pm10n","pm10median","pm10max1","pm10max2","pm10max3","pm10max4","pm10max5","pm10trend","pm10mtrend","pm10grandmean","pm10tmean","pm10meanmax","pm25mean","pm25n","pm25median","pm25max1","pm25max2","pm25max3","pm25max4","pm25max5","pm25trend","pm25mtrend","pm25grandmean","pm25tmean","pm25meanmax","o3mean","o3n","o3median","o3max1","o3max2","o3max3","o3max4","o3max5","o3trend","o3mtrend","o3grandmean","o3tmean","o3meanmax","so2mean","so2n","so2median","so2max1","so2max2","so2max3","so2max4","so2max5","so2trend","so2mtrend","so2grandmean","so2tmean","so2meanmax","no2mean","no2n","no2median","no2max1","no2max2","no2max3","no2max4","no2max5","no2trend","no2mtrend","no2grandmean","no2tmean","no2meanmax","comean","con","comedian","comax1","comax2","comax3","comax4","comax5","cotrend","comtrend","cograndmean","cotmean","comeanmax","time","time2","time3","rmtmpd","rmdptp","l1pm10tmean","l1pm25tmean","l1cotmean","l1no2tmean","l1so2tmean","l1o3tmean","l2pm10tmean","l2pm25tmean","l2cotmean","l2no2tmean","l2so2tmean","l2o3tmean","l3pm10tmean","l3pm25tmean","l3cotmean","l3no2tmean","l3so2tmean","l3o3tmean"
"atla",19870101,5,43,49,37,41.5,37.375,85.625,93,71,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,2.8193,1,2.8193057965,70,48,42,20,19,7.1284973809,7.3546663613,5.8501754838,2.8193057965,70,-4.7229,2,-4.72286651,33,33,32,31,29,23.577033177,23.577033177,20.907862632,-4.72286651,32,-259,4,-262.1079465,2600,2300,2100,1700,1700,938.43253331,925.76810553,903.94786479,-262.1079465,1225,-2556.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atla",19870102,6,33.5,38,29,33.625,25.75,73.5,85,65,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,-3.1958,1,-3.195845719,19,12,12,9,7,7.1284973809,7.3546663613,5.8501754838,-3.195845719,19,-5.1861,2,-5.186124086,29,27,26,24,23,23.577033177,23.577033177,20.907862632,-5.186124086,28,-227.2,4,-240.3688161,3300,2700,2500,2200,2200,938.43253331,925.76810553,903.94786479,-240.3688161,1300,-2555.5,0,0,NA,NA,NA,NA,-262.1079465,-4.72286651,2.8193057965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"atla",19870103,7,37,48,26,44.25,20.75,40.375,89,30,-1.2545,1,-1.254545455,45,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,-1.254545455,45,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,15.2776,1,15.27763913,101,99,99,84,26,7.1284973809,7.3546663613,5.8501754838,15.27763913,101,6.2573,1,6.2572618428,38,33,32,32,32,23.577033177,23.577033177,20.907862632,6.2572618428,38,-71.6037,3,-103.0951707,3100,2600,2300,2300,2300,938.43253331,925.76810553,903.94786479,-103.0951707,2400,-2554.5,0,0,NA,NA,NA,NA,-240.3688161,-5.186124086,-3.195845719,NA,NA,NA,-262.1079465,-4.72286651,2.8193057965,NA,NA,NA,NA,NA,NA,NA
"atla",19870104,1,39.5,42,37,40.875,26.375,56.625,76,51,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,-5.389,1,-5.389027537,5,4,4,3,3,7.1284973809,7.3546663613,5.8501754838,-5.389027537,5,2.2989,1,2.2989285094,31,29,27,27,26,23.577033177,23.577033177,20.907862632,2.2989285094,31,-495.6,3,-274.8462853,1200,500,500,500,500,938.43253331,925.76810553,903.94786479,-274.8462853,600,-2553.5,0,0,-6.156582186,-4.567636138,-1.254545455,NA,-103.0951707,6.2572618428,15.27763913,NA,NA,NA,-240.3688161,-5.186124086,-3.195845719,NA,NA,NA,-262.1079465,-4.72286651,2.8193057965,NA
"atla",19870105,2,47.5,59,36,52,25.75,37.75,70,20,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,-0.639,1,-0.639027537,20,20,16,13,12,7.1284973809,7.3546663613,5.8501754838,-0.639027537,20,7.7573,1,7.7572618428,44,43,40,39,34,23.577033177,23.577033177,20.907862632,7.7572618428,44,843.3,3,858.48704808,6300,6200,6000,5500,5500,938.43253331,925.76810553,903.94786479,858.48704808,6000,-2552.5,0,0,-13.17804432,-11.37032497,NA,NA,-274.8462853,2.2989285094,-5.389027537,NA,-1.254545455,NA,-103.0951707,6.2572618428,15.27763913,NA,NA,NA,-240.3688161,-5.186124086,-3.195845719,NA
"atla",19870106,3,44.5,56,33,49.875,18.875,30.375,86,20,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,2.4026,1,2.4026391298,28,19,16,15,14,7.1284973809,7.3546663613,5.8501754838,2.4026391298,28,2.9239,1,2.9239285094,34,33,33,33,30,23.577033177,23.577033177,20.907862632,2.9239285094,34,640.1,3,583.48704808,7300,6100,5500,5100,4800,938.43253331,925.76810553,903.94786479,583.48704808,6300,-2551.5,0,0,-7.183375869,-8.964486038,NA,NA,858.48704808,7.7572618428,-0.639027537,NA,NA,NA,-274.8462853,2.2989285094,-5.389027537,NA,-1.254545455,NA,-103.0951707,6.2572618428,15.27763913,NA
"atla",19870107,4,52,63,41,54.5,40,59.25,71,45,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,2.8951,1,2.8950633722,40,22,16,14,13,7.1284973809,7.3546663613,5.8501754838,2.8950633722,40,9.0489,1,9.0489285094,50,47,41,40,39,23.577033177,23.577033177,20.907862632,9.0489285094,50,471.1,4,126.66016944,11700,8500,6600,5300,4000,938.43253331,925.76810553,903.94786479,126.66016944,4900,-2550.5,0,0,-8.480799699,-16.06872916,NA,NA,583.48704808,2.9239285094,2.4026391298,NA,NA,NA,858.48704808,7.7572618428,-0.639027537,NA,NA,NA,-274.8462853,2.2989285094,-5.389027537,NA
"atla",19870108,5,45.5,56,35,48,30.875,52.625,85,40,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,30.236,1,30.235972463,127,113,104,87,71,7.1284973809,7.3546663613,5.8501754838,30.235972463,127,12.4959,1,12.495898206,62,52,44,43,38,23.577033177,23.577033177,20.907862632,12.495898206,62,199.5,4,145.68156535,5700,4800,3800,3800,3500,938.43253331,925.76810553,903.94786479,145.68156535,2825,-2549.5,0,0,-0.114549807,-7.858754812,NA,NA,126.66016944,9.0489285094,2.8950633722,NA,NA,NA,583.48704808,2.9239285094,2.4026391298,NA,NA,NA,858.48704808,7.7572618428,-0.639027537,NA
"atla",19870109,6,46.5,60,33,56.375,37.5,51.125,82,24,27.7455,1,27.745454545,74,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,27.745454545,74,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,7.111,1,7.1109724631,51,36,29,27,26,7.1284973809,7.3546663613,5.8501754838,7.1109724631,51,0.3406,1,0.3405951761,41,35,25,24,22,23.577033177,23.577033177,20.907862632,0.3405951761,41,421.9,4,167.05872016,6400,6000,5700,5300,5300,938.43253331,925.76810553,903.94786479,167.05872016,5275,-2548.5,0,0,-1.233188039,-7.742176641,NA,NA,145.68156535,12.495898206,30.235972463,NA,NA,NA,126.66016944,9.0489285094,2.8950633722,NA,NA,NA,583.48704808,2.9239285094,2.4026391298,NA
"atla",19870110,7,44.5,54,35,41.5,31.5,68,96,63,NA,0,NA,NA,NA,NA,NA,NA,38.787530477,36.74137931,33.764099572,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,21.042605262,20.610380623,19.90988145,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.70759693,25.51504343,26.572471554,NA,NA,-5.9307,1,-5.930694204,14,5,3,3,2,7.1284973809,7.3546663613,5.8501754838,-5.930694204,14,1.2989,1,1.2989285094,34,31,31,29,28,23.577033177,23.577033177,20.907862632,1.2989285094,34,-413.2,4,-389.6047859,1700,1300,1200,1100,1100,938.43253331,925.76810553,903.94786479,-389.6047859,800,-2547.5,0,0,0.6286141041,0.3112588131,27.745454545,NA,167.05872016,0.3405951761,7.1109724631,NA,NA,NA,145.68156535,12.495898206,30.235972463,NA,NA,NA,126.66016944,9.0489285094,2.8950633722,NA
