"TEMP","Ozone","COUNTY"
58.7,0.043,"Cobb"
57.7,0.04,"Cobb"
55.9,0.022,"Cobb"
54.5,0.02,"Cobb"
53.7,0.039,"Cobb"
59.4,0.045,"Cobb"
63.1,0.057,"Cobb"
64.5,0.035,"Cobb"
65.8,0.022,"Cobb"
62.2,0.025,"Cobb"
43.4,0.038,"Cobb"
44,0.034,"Cobb"
50.6,0.034,"Cobb"
56.2,0.044,"Cobb"
61.3,0.029,"Cobb"
59.8,0.027,"Cobb"
47.8,0.034,"Cobb"
46.7,0.036,"Cobb"
55,0.038,"Cobb"
53.3,0.04,"Cobb"
60.5,0.05,"Cobb"
60.5,0.046,"Cobb"
61.1,0.037,"Cobb"
64.8,0.051,"Cobb"
66.4,0.053,"Cobb"
58.3,0.033,"Cobb"
56,0.053,"Cobb"
54.7,0.029,"Cobb"
55.5,0.031,"Cobb"
61.3,0.049,"Cobb"
63.6,0.061,"Cobb"
62.8,0.032,"Cobb"
67.1,0.033,"Cobb"
53.5,0.04,"Cobb"
47.2,0.05,"Cobb"
58.7,0.062,"Cobb"
63,0.041,"Cobb"
57.8,0.034,"Cobb"
43.9,0.044,"Cobb"
55.1,0.034,"Cobb"
61.6,0.046,"Cobb"
63.7,0.035,"Cobb"
56.4,0.023,"Cobb"
46.2,0.017,"Cobb"
56.2,0.027,"Cobb"
64,0.046,"Cobb"
66.9,0.045,"Cobb"
56.8,0.043,"Cobb"
61.5,0.051,"Cobb"
68.9,0.054,"Cobb"
63.6,0.037,"Cobb"
54.2,0.054,"Cobb"
57.7,0.047,"Cobb"
58.2,0.03,"Cobb"
56.4,0.032,"Cobb"
56.7,0.057,"Cobb"
60.4,0.067,"Cobb"
59.1,0.05,"Cobb"
60,0.071,"Cobb"
62.3,0.083,"Cobb"
66.6,0.068,"Cobb"
69.4,0.064,"Cobb"
71.4,0.06,"Cobb"
68.2,0.052,"Cobb"
70.1,0.068,"Cobb"
71.7,0.066,"Cobb"
73.4,0.06,"Cobb"
73.7,0.06,"Cobb"
73.9,0.054,"Cobb"
73.3,0.049,"Cobb"
72.2,0.058,"Cobb"
76.3,0.043,"Cobb"
77.8,0.052,"Cobb"
71.4,0.062,"Cobb"
65.7,0.066,"Cobb"
68.2,0.074,"Cobb"
72.2,0.072,"Cobb"
76.8,0.067,"Cobb"
76.5,0.047,"Cobb"
75.8,0.047,"Cobb"
72.2,0.043,"Cobb"
69.2,0.055,"Cobb"
72,0.059,"Cobb"
78.7,0.052,"Cobb"
79.5,0.042,"Cobb"
74.7,0.051,"Cobb"
78.8,0.035,"Cobb"
76.3,0.045,"Cobb"
69.2,0.048,"Cobb"
67.6,0.069,"Cobb"
69.7,0.08,"Cobb"
75.4,0.104,"Cobb"
79.2,0.087,"Cobb"
80,0.081,"Cobb"
75.8,0.042,"Cobb"
71.7,0.034,"Cobb"
67.4,0.05,"Cobb"
65.6,0.073,"Cobb"
70.3,0.093,"Cobb"
74.7,0.108,"Cobb"
78,0.107,"Cobb"
79.1,0.105,"Cobb"
80.7,0.088,"Cobb"
81.2,0.048,"Cobb"
81.5,0.046,"Cobb"
81,0.039,"Cobb"
75.3,0.026,"Cobb"
74.4,0.042,"Cobb"
79.8,0.031,"Cobb"
80,0.039,"Cobb"
79.8,0.035,"Cobb"
80.8,0.048,"Cobb"
81.4,0.05,"Cobb"
81.6,0.068,"Cobb"
83.1,0.097,"Cobb"
80.6,0.059,"Cobb"
78,0.051,"Cobb"
75.7,0.066,"Cobb"
77.6,0.035,"Cobb"
74.8,0.034,"Cobb"
74.5,0.073,"Cobb"
78,0.067,"Cobb"
78.7,0.099,"Cobb"
81,0.083,"Cobb"
81.8,0.072,"Cobb"
83.7,0.059,"Cobb"
85.7,0.069,"Cobb"
83.8,0.065,"Cobb"
81.6,0.074,"Cobb"
82.5,0.073,"Cobb"
83.5,0.066,"Cobb"
80.5,0.074,"Cobb"
79.4,0.077,"Cobb"
79,0.083,"Cobb"
